pair,Wealth NEAT,Wealth STATIC,Wealth DRL,CAGR NEAT,CAGR STATIC,CAGR DRL,ASR NEAT,ASR STATIC,ASR DRL,# Trades NEAT,# Trades STATIC,# Trades DRL,TR NEAT,TR STATIC,TR DRL
#90213,1534313.3525000014,1076225.2852999999,1036506.9465999994,0.14295307263017598,0.023193514731268516,0.02056371453145034,1.439755256227011,0.28930896967323605,0.5596152637379266,112,23,39,0.5343133525000014,0.07622528529999983,0.036506946599999424
#49040,1588622.0799999991,898294.55,979017.46,0.1554296896441083,-0.03292348015887481,-0.01889705317980117,0.9970465362954146,-0.20075285233038828,-1.3772989735028016,114,19,5,0.588622079999999,-0.10170544999999998,-0.020982539999999994
#44600,1224241.8915000013,962014.5727000004,999496.2523999999,0.0651862407592807,-0.012014489757507851,-0.00030462190982560866,1.144941880442522,-0.3648871636433549,-0.079715953981488,247,24,96,0.2242418915000013,-0.03798542729999965,-0.0005037476000001595
#10562,1532334.609999999,1141855.3600000003,1000000.0,0.14249278988228453,0.042273880270268904,0.0,1.8296040164736262,0.6505264663023033,0.0,79,37,1,0.532334609999999,0.14185536000000032,0.0
#88724,1445202.680000002,1094487.2800000005,1000048.8699999999,0.12180595133633498,0.028581336108655098,4.179656270886234e-05,2.3205735596858537,0.6892502925660815,-87.57761301128512,158,10,3,0.44520268000000196,0.0944872800000005,4.886999999986763e-05
#31901,1273477.5899999952,1096073.1199999999,1001493.5,0.07837645223302414,0.029046278698495742,0.001867223392182149,1.4981053526896604,0.6667903676420878,-0.30700910130321213,365,10,9,0.2734775899999953,0.09607311999999979,0.0014935000000000365
#39445,1775755.209999999,1155013.9,1042994.94,0.1962960311085482,0.0460080426009597,0.040753965708933526,2.6000617958359262,0.675698039241498,0.6560468892983612,152,37,9,0.7757552099999991,0.15501389999999993,0.04299494000000004
#27187,18348531.13319,2825490.8849200015,1000000.0,1.4797127047062726,0.38292178845674485,0.0,2.671958103519804,1.4905068926762675,0.0,136,43,1,17.348531133189997,1.8254908849200016,0.0
#52348,-4087.0351999995764,1120178.656310001,1183709.33603,-0.9991969142778608,0.03605733335642114,0.136798230181864,0.5722888212507692,0.23559326751919354,0.48314590039491456,5,14,16,-1.0040870351999995,0.12017865631000091,0.18370933602999995
#47960,2018514.6500000013,1092138.75,1007656.3999999999,0.24511090792287327,0.027891933115642198,0.004688034837896815,2.365619488833054,0.3154100242120193,0.0370459741899373,597,14,31,1.0185146500000015,0.09213874999999994,0.007656399999999897
#20647,1888143.250000001,1047384.25,980236.25,0.2194313734617208,0.014554997325701535,-0.011621209241795882,1.6311147395865362,0.15298449883046233,-0.08109593446308767,162,23,49,0.8881432500000008,0.047384249999999906,-0.01976374999999997
#97840,1623224.7999999989,1158208.6,1062893.5,0.16322682972340297,0.046910223312941035,0.03866830360196949,2.2354819364634024,0.951890626257841,1.3272053450244983,82,24,13,0.6232247999999989,0.15820860000000003,0.06289349999999994
#90207,2479832.1999999965,1132736.6,1050718.2,0.3277276501683166,0.03966873774758817,0.02756813053939844,3.0490601602573806,0.5750980918639154,0.5938740161309777,184,24,25,1.4798321999999966,0.1327366000000001,0.050718199999999936
#61696,2531391.700000001,1064365.1,997489.0999999996,0.33628310380972404,0.019660644991104315,-0.0012783504615430097,2.391210886831701,0.2167832275720646,-0.5500066347401593,146,22,9,1.5313917000000012,0.06436510000000006,-0.0025109000000004267
#11069,2402283.9999999967,1157165.9000000001,1050515.0000000002,0.31462630408213865,0.046615954053494946,0.029893113460580434,2.2546857510309826,0.5380234040870778,0.6414836283906677,123,28,20,1.4022839999999968,0.15716590000000008,0.05051500000000031
#96894,2271299.5,1325971.4,1070268.4999999998,0.291820271487059,0.09205863023472127,0.04512992572262542,2.066116618545201,0.9029679193563441,1.019192825273663,64,32,19,1.2712995,0.3259713999999998,0.07026849999999984
#66464,1145420.5000000005,1021007.0,1000553.5,0.04328851539811773,0.006509985288413178,0.00040880566212497804,1.0267647328767022,0.11125687054201708,-0.8374382498918225,69,13,9,0.1454205000000004,0.021006999999999998,0.0005535000000000956
#33055,2637506.6000000015,1081160.5000000005,1002371.7999999998,0.35352092799132095,0.024655709568684347,0.0014781605831286626,3.6731360866700857,0.38496141777512677,-0.7403911455992394,325,26,9,1.6375066000000014,0.08116050000000041,0.002371799999999924
#69262,1085241.2735000001,988500.3129999997,1001376.8209999996,0.02586128856128367,-0.0036036271046366863,0.0008836673727332656,0.7567339380873155,-0.3553296018756619,-0.40769688729900105,114,8,43,0.0852412735000001,-0.011499687000000258,0.001376820999999584
#40812,1504480.75,1087312.0,1095788.5,0.13596977697332568,0.026471848955986088,0.05528233819381567,1.7427700856816726,0.2854147105095841,0.9644071473360258,89,9,19,0.5044807499999999,0.08731200000000006,0.09578850000000005
#63136,1353509.25,1003707.0,1128938.25,0.09908762012826489,0.0011555746802442979,0.04901173664307157,1.7674213533672727,-0.027859156011351756,0.92063044230567,73,11,37,0.3535092500000001,0.003706999999999905,0.12893825000000003
#13311,1784319.25,1222129.5,1040788.5,0.19809384021112186,0.06461223139551597,0.03260175366231888,2.2069729174006394,0.9827669898340419,0.6759992089497643,120,28,27,0.78431925,0.2221295000000001,0.040788499999999894
#92619,1512328.25,1279074.0,1026026.25,0.1378159069226652,0.07985338818760535,0.013897892857692717,1.6315578046208314,1.1785191008053073,0.6127845546111279,67,38,29,0.5123282499999999,0.27907400000000004,0.026026249999999918
#84037,1024434.0599999998,990931.3400000004,1001452.8599999999,0.007563252853562075,-0.0028394281122131604,0.0041566309833351855,1.0664954488654814,-2.562785982475557,0.028056734572433604,22,15,28,0.024434059999999924,-0.009068659999999618,0.0014528599999998892
#87707,1010517.2500000001,1002187.94,998261.2500000012,0.0032708904304825648,0.0006823971756537706,-0.0006622527643977971,-0.49059310968326103,-3.0431285790031444,-3.5429513297266038,74,18,98,0.010517250000000145,0.0021879399999999993,-0.0017387499999987899
#14614,1098096.7199999986,1033420.0599999998,1003810.3499999999,0.029638893949470946,0.010313535396981655,0.014433730342755746,3.5352978668863786,1.1303470766417392,0.9249575613868958,63,17,5,0.09809671999999847,0.03342005999999986,0.0038103499999999624
#80319,1006218.8,994425.1199999998,1006598.1899999997,0.0019369048284159085,-0.0017434054946235955,0.0026462997355891638,-0.5657204637251416,-3.0294758922853435,-0.5800713086659741,62,10,47,0.00621880000000008,-0.005574880000000282,0.006598189999999615
#25890,1044328.7709999997,997834.1299999999,1004250.9299999999,0.01363027050839749,-0.0006765260482397562,0.008722063786471335,1.4280219322744012,-0.6912840429697542,0.49923534300910616,697,16,26,0.04432877099999977,-0.002165870000000125,0.004250929999999986
#46338,1130976.2599999974,1008645.2700000001,1036581.8700000002,0.03916416565412506,0.002690418880082701,0.07056413014850937,2.0581445907145013,-0.08749919247164638,2.7290882930855727,132,15,22,0.1309762599999975,0.00864527000000015,0.03658187000000024
#17764,1068435.59,1011030.8299999996,1007564.77,0.020876186181548295,0.0034300141894192393,0.07827550047126319,1.450176011964479,-0.05915060878406295,3.3557146437732723,91,17,4,0.06843558999999999,0.011030829999999714,0.0075647700000001095
