,date_min,date_max,na_count_asset_1,na_count_asset_2,act,coint,hurst,pair,area
0,2009-01-02,2012-12-31,0,0,23.071428571428573,0.00232315482329029,0.3963796374503293,63.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,17.526315789473685,1.0113463515340897e-09,0.3068802216256274,72.0,CSCE Coffee & NYM Coffee
0,2009-01-02,2012-12-31,0,0,23.58974358974359,0.07792692584471721,0.49243313352791895,75.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,31.137931034482758,0.016515087978980637,0.48674874662509077,76.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,12.0,0.10690636714247442,0.4562659492707955,78.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,10.72340425531915,0.0001542533191091494,0.4533477973397622,79.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,19.680851063829788,0.26365123832272025,0.4772945594217,80.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,37.375,0.00992594957583556,0.6264474404712322,82.0,RF BPAM ALL bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,26.419354838709676,0.303017225792521,0.49289072869055234,83.0,RF BPAM ALL bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,40.22727272727273,0.028978333411394355,0.575558399101979,84.0,RF BPAM ALL bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,196.0,0.021312504386912415,0.7272778672076617,91.0,RF BPAM CORP FIN bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,107.85714285714286,0.07409150347418768,0.7718576525221412,93.0,RF BPAM CORP FIN bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,14.152777777777779,0.0011784241814807484,0.43378417203253555,106.0,UK bonds
0,2009-01-02,2012-12-31,0,0,22.711111111111112,0.13907583799279938,0.49510775867879975,107.0,UK bonds
0,2009-01-02,2012-12-31,0,0,21.76595744680851,0.10550508579579082,0.441010424641648,108.0,UK bonds
0,2009-01-02,2012-12-31,0,0,21.885714285714286,0.7857830181275179,0.4998214213671217,110.0,France bonds
0,2009-01-02,2012-12-31,0,0,18.67924528301887,0.20959423249058073,0.44335838598840804,112.0,Italy bonds
0,2009-01-02,2012-12-31,0,0,16.508474576271187,0.009104654011082007,0.5019058840198448,113.0,Italy bonds
0,2009-01-02,2012-12-31,0,0,12.155844155844155,0.09364133395917384,0.5299509233584941,114.0,Italy bonds
0,2009-01-02,2012-12-31,0,0,15.428571428571429,0.17741246339640926,0.49143290428528047,115.0,Italy bonds
0,2009-01-02,2012-12-31,0,0,13.32394366197183,0.17310543093603264,0.47504567579380186,116.0,Italy bonds
0,2009-01-02,2012-12-31,0,0,3.8609022556390977,0.003915416651311227,0.30145834481576744,117.0,CDS Societe general
0,2009-01-02,2012-12-31,0,0,19.681818181818183,0.4704667496426505,0.35479339289536665,118.0,CDS Societe general
0,2009-01-02,2012-12-31,0,0,13.577464788732394,0.0017091407747242,0.47758042182272514,119.0,CDS Deutsche Bank
0,2009-01-02,2012-12-31,0,0,103.0,0.009177633632158368,0.5299173545243931,130.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,103.0,0.0197547206917115,0.5312905831980101,132.0,CDS 3M Company
0,2009-01-02,2012-12-31,0,0,2.652173913043478,0.0,0.32408674180223684,135.0,ECBOT Wheat - standard and mini
