,date_min,date_max,na_count_asset_1,na_count_asset_2,act,coint,hurst,pair,area
0,2009-01-02,2012-12-31,0,0,15.067796610169491,0.5663297190876295,0.3737828775121594,45.0,Turkey CDS  (different maturity)
0,2009-01-02,2012-12-31,0,0,60.25,0.7481283537278756,0.431006818014781,46.0,Bank of America CDS (different maturity)
0,2009-01-02,2012-12-31,0,0,5.243386243386244,3.8353543958168747e-07,0.39401827817276214,47.0,Germany bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,7.027972027972028,0.004247874772625114,0.39596276613613063,48.0,Germany bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,10.473118279569892,0.045748261721717025,0.3624234540797562,49.0,Germany bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,7.119402985074627,0.0007792898151720728,0.3915505279337364,50.0,Germany bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,18.113636363636363,0.017287221409787987,0.4516208268113955,51.0,Canada bonds(different maturity)
0,2009-01-02,2012-12-31,0,0,39.13333333333333,0.6665681181259588,0.5117447500346071,52.0,Canada bonds(different maturity)
0,2009-01-02,2012-12-31,0,0,12.328125,0.028229697508343792,0.5180336671927323,53.0,Copper & Aluminum futures
0,2009-01-02,2012-12-31,0,0,27.857142857142858,0.29652005027383055,0.5383932720737553,54.0,Copper & Nickel futures
0,2009-01-02,2012-12-31,0,0,23.842105263157894,0.04206158798745587,0.5011262230993485,55.0,Aluminum & Nickel
0,2009-01-02,2012-12-31,0,0,13.342465753424657,7.208120115829733e-06,0.41847969879921776,56.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,16.559322033898304,0.024441691646185034,0.43834763584666975,57.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,13.985915492957746,0.03237940252382097,0.476018821293505,58.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,13.2,0.039379141159515005,0.4535054246862819,59.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,14.835820895522389,0.08685691252628935,0.4483400702911916,60.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,23.071428571428573,0.00232315482329029,0.3963796374503293,61.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,11.627906976744185,0.01574151753280065,0.46395931245512817,62.0,Lumber futures (different maturities)
0,2009-01-02,2012-12-31,0,0,27.869565217391305,0.7211069771998839,0.5721522028345205,63.0,Coffe futures (different maturities)
0,2009-01-02,2012-12-31,0,0,29.08,0.41434091734528083,0.5364608567316738,64.0,Coffe futures (different maturities)
0,2009-01-02,2012-12-31,0,0,29.47826086956522,0.7144315873330387,0.6131568387031899,65.0,Coffe futures (different maturities)
0,2009-01-02,2012-12-31,0,0,20.333333333333332,0.5869334092335701,0.5593716636385235,66.0,Coffe futures (different maturities)
0,2009-01-02,2012-12-31,0,0,28.25,0.6377288565814713,0.5523458517960715,67.0,Coffe futures (different maturities)
0,2009-01-02,2012-12-31,0,0,21.967741935483872,0.775451911022442,0.6102718863880089,68.0,Coffe futures (different maturities)
0,2009-01-02,2012-12-31,0,0,29.958333333333332,0.8351019925923333,0.5941426955850938,69.0,Coffe futures (different maturities)
0,2009-01-02,2012-12-31,0,0,17.526315789473685,1.0113463515340897e-09,0.3068802216256274,70.0,CSCE Coffee & NYM Coffee
0,2009-01-02,2012-12-31,0,0,22.704545454545453,0.23469547112300787,0.5350905935778114,71.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,18.5,0.10144811660010089,0.5213160099668951,72.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,23.58974358974359,0.07792692584471721,0.49243313352791895,73.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,31.137931034482758,0.016515087978980637,0.48674874662509077,74.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,19.01923076923077,0.2251595465263509,0.5524821541272927,75.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,12.0,0.10690636714247442,0.4562659492707955,76.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,10.72340425531915,0.0001542533191091494,0.4533477973397622,77.0,Corn futures (different maturity)
0,2009-01-02,2012-12-31,0,0,37.375,0.00992594957583556,0.6264474404712322,78.0,RF BPAM ALL bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,26.419354838709676,0.303017225792521,0.49289072869055234,79.0,RF BPAM ALL bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,40.22727272727273,0.028978333411394355,0.575558399101979,80.0,RF BPAM ALL bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,102.375,0.8157886286341595,0.6243856441138416,81.0,RF BPAM CORP GTD bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,56.0,0.8305683918129215,0.6270421042748698,82.0,RF BPAM CORP GTD bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,130.66666666666666,0.9607664326270258,0.6315931283270424,83.0,RF BPAM CORP GTD bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,30.192307692307693,0.5675006602783927,0.6746838857669809,84.0,RF BPAM CORP SUKUK bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,65.07692307692308,0.9534864294164209,0.6809434016301439,85.0,RF BPAM CORP SUKUK bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,30.107142857142858,0.7832849275510108,0.6314606944452564,86.0,RF BPAM CORP SUKUK bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,196.0,0.021312504386912415,0.7272778672076617,87.0,RF BPAM CORP FIN bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,48.9375,0.1217307703174762,0.6282072830611961,88.0,RF BPAM CORP FIN bonds (different maturity)
0,2009-01-02,2012-12-31,0,0,62.333333333333336,0.5083984574061884,0.5826190045490122,89.0,Soybean & Soybean oil (ECBOT)
0,2009-01-02,2012-12-31,0,0,21.24390243902439,0.9721418487556165,0.5580770081090791,90.0,Soybean & Soybean meal (ECBOT)
0,2009-01-02,2012-12-31,0,0,58.333333333333336,0.9311956341624331,0.5375570284019034,91.0,Soybean oil & Soybean meal (ECBOT)
0,2012-05-14,2012-12-31,0,0,9.1,0.37987279379193056,0.5372719034095533,92.0,Soybean oil (ICE) &  Soybean meal (ICE)
0,2009-01-05,2012-12-31,0,0,16.163265306122447,0.11295014770942574,0.4486865301542526,93.0,Japan Bonds
0,2009-01-05,2012-12-31,0,0,17.666666666666668,0.11238484296649648,0.4596886778428066,94.0,Japan Bonds
